firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
87,2016.1.1,IL,60611,Incubator/Development Program,1600,Non-Financial,1,
01 Advisors 01 LP,2019.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
1 Flourish Capital LLC,1969.1.1,CA,94040,Private Equity Firm,7400,IVC,1,
1-800-Flowers.Com Inc,1992.1.1,NY,11590,Corporate PE/Venture,5380,CVC,1,
1/0 Capital LLC,2020.1.1,NY,10007,Private Equity Firm,0,IVC,1,
10 Point Capital LLC,2018.1.1,GA,30305,Private Equity Firm,520,IVC,1,
100 X Better Inc,2000.1.1,MA,2453,Incubator/Development Program,1120,Non-Financial,1,
1005 Ventures LLC,2020.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
10H Capital Management LLC,2019.1.1,IL,60076,Private Equity Firm,1600,IVC,1,
10T Holdings LLC,2019.1.1,CT,6830,Private Equity Firm,8040,IVC,1,
10X Capital Management LLC,2004.1.1,NY,10007,Private Equity Firm,5600,IVC,1,
10X Venture Partners LLC,2012.1.1,NH,3104,Private Equity Firm,4760,IVC,1,
11 Tribes,2020.1.1,IL,60137,Private Equity Firm,1600,IVC,1,
11.2 Ventures LLC,2020.1.1,IL,60608,Corporate PE/Venture,1600,CVC,1,
111 West Capital LLC,2021.3.10,WY,83128,Private Equity Firm,0,IVC,1,
12 Entrepreneuring Inc,2000.1.1,CA,94111,Corporate PE/Venture,7360,CVC,1,
12/12 Ventures LLC,2020.1.1,CA,94965,Private Equity Firm,7360,IVC,1,
1219 Capital LLC,2018.1.1,UT,84117,Private Equity Firm,7160,IVC,1,
122 West Ventures LP,2016.12.27,CA,94115,Private Equity Firm,7360,IVC,1,
1315 Capital LLC,2014.2.10,PA,19104,Private Equity Firm,6160,IVC,1,
137 Ventures LP,2011.1.1,CA,94108,Private Equity Firm,7360,IVC,1,
13Th Floor Investments LLC,2003.1.1,FL,33131,Private Equity Firm,5000,IVC,1,
13th Floor Capital LLC,2016.1.1,FL,33131,Private Equity Firm,5000,IVC,1,
1414 Ventures Fund LLC,2021.1.1,MA,2135,Private Equity Firm,1120,IVC,1,
